series_id                     	year	period	value	footnote_codes
ORUC1000000000001149          	2022	A01	83.8	7
ORUC1000000000001150          	2022	A01	16.2	
ORUC1000000000001154          	2022	A01	33.8	7
ORUC1000000000001155          	2022	A01	24.3	
ORUC1000000000001156          	2022	A01	20.9	
ORUC1000000000001157          	2022	A01	21.0	
ORUC1000000000001160          	2022	A01	63.8	7
ORUC1000000000001161          	2022	A01	36.2	
ORUC1000000000001164          	2022	A01	2.4	
ORUC1000000000001165          	2022	A01	5.2	
ORUC1000000000001166          	2022	A01	74.4	7
ORUC1000000000001167          	2022	A01	17.1	
ORUC1000000000001168          	2022	A01	0.8	
ORUC1000000000001171          	2022	A01	37.0	
ORUC1000000000001172          	2022	A01	8.5	
ORUC1000000000001173          	2022	A01	54.5	7
ORUC1000000000001176          	2022	A01	56.2	7
ORUC1000000000001177          	2022	A01	43.8	
ORUC1000000000001180          	2022	A01	27.4	
ORUC1000000000001181          	2022	A01	50.6	7
ORUC1000000000001182          	2022	A01	18.5	
ORUC1000000000001183          	2022	A01	3.5	
ORUC1000000000001186          	2022	A01	38.8	
ORUC1000000000001187          	2022	A01	61.2	7
ORUC1000000000001190          	2022	A01	13.8	
ORUC1000000000001191          	2022	A01	9.1	
ORUC1000000000001192          	2022	A01	12.1	
ORUC1000000000001193          	2022	A01	5.8	
ORUC1000000000001194          	2022	A01	59.2	7
ORUC1000000000001197          	2022	A01	78.7	7
ORUC1000000000001198          	2022	A01	21.3	
ORUC1000000000001201          	2022	A01	3.4	
ORUC1000000000001202          	2022	A01	96.6	7
ORUC1000000000001205          	2022	A01	10.6	
ORUC1000000000001206          	2022	A01	89.4	7
ORUC1000000A00001150          	2022	A01	100.0	7
ORUC1000000A00001156          	2022	A01	12.5	
ORUC1000000A00001157          	2022	A01	82.8	7
ORUC1000000A00001160          	2022	A01	15.1	
ORUC1000000A00001161          	2022	A01	84.9	7
ORUC1000000A00001166          	2022	A01	9.8	
ORUC1000000A00001167          	2022	A01	90.2	7
ORUC1000000A00001171          	2022	A01	45.8	
ORUC1000000A00001172          	2022	A01	6.7	
ORUC1000000A00001173          	2022	A01	47.4	7
ORUC1000000A00001176          	2022	A01	100.0	7
ORUC1000000A00001180          	2022	A01	17.4	
ORUC1000000A00001181          	2022	A01	72.0	7
ORUC1000000A00001182          	2022	A01	10.6	
ORUC1000000A00001187          	2022	A01	100.0	7
ORUC1000000A00001190          	2022	A01	61.8	7
ORUC1000000A00001191          	2022	A01	13.8	
ORUC1000000A00001192          	2022	A01	18.7	
ORUC1000000A00001197          	2022	A01	94.9	7
ORUC1000000A00001205          	2022	A01	37.2	
ORUC1000000A00001206          	2022	A01	62.8	7
ORUC1000000D00001150          	2022	A01	65.2	7
ORUC1000000D00001157          	2022	A01	61.0	7
ORUC1000000D00001160          	2022	A01	32.5	
ORUC1000000D00001161          	2022	A01	67.5	7
ORUC1000000D00001173          	2022	A01	62.9	7
ORUC1000000D00001176          	2022	A01	100.0	7
ORUC1000000D00001187          	2022	A01	100.0	7
ORUC1000000D00001191          	2022	A01	4.0	
ORUC1000000D00001197          	2022	A01	100.0	7
ORUC1000000D00001202          	2022	A01	88.0	7
ORUC1000000D00001206          	2022	A01	64.1	7
ORUC1000000J00001149          	2022	A01	10.6	
ORUC1000000J00001150          	2022	A01	89.4	7
ORUC1000000J00001156          	2022	A01	24.7	
ORUC1000000J00001157          	2022	A01	68.5	7
ORUC1000000J00001160          	2022	A01	49.7	
ORUC1000000J00001161          	2022	A01	50.3	7
ORUC1000000J00001165          	2022	A01	4.5	
ORUC1000000J00001166          	2022	A01	26.8	
ORUC1000000J00001167          	2022	A01	68.3	7
ORUC1000000J00001171          	2022	A01	43.2	
ORUC1000000J00001172          	2022	A01	8.8	
ORUC1000000J00001173          	2022	A01	48.0	7
ORUC1000000J00001180          	2022	A01	9.8	
ORUC1000000J00001181          	2022	A01	73.0	7
ORUC1000000J00001182          	2022	A01	17.1	
ORUC1000000J00001187          	2022	A01	100.0	7
ORUC1000000J00001197          	2022	A01	83.8	7
ORUC1000000J00001198          	2022	A01	16.2	
ORUC1000000J00001205          	2022	A01	38.3	
ORUC1000000J00001206          	2022	A01	61.7	7
ORUC1000000K00001149          	2022	A01	1.6	
ORUC1000000K00001150          	2022	A01	98.4	7
ORUC1000000K00001154          	2022	A01	3.5	
ORUC1000000K00001155          	2022	A01	13.6	
ORUC1000000K00001156          	2022	A01	32.1	
ORUC1000000K00001157          	2022	A01	50.8	7
ORUC1000000K00001160          	2022	A01	33.9	
ORUC1000000K00001161          	2022	A01	66.1	7
ORUC1000000K00001165          	2022	A01	19.1	
ORUC1000000K00001166          	2022	A01	19.6	
ORUC1000000K00001167          	2022	A01	61.3	7
ORUC1000000K00001171          	2022	A01	49.9	7
ORUC1000000K00001172          	2022	A01	3.9	
ORUC1000000K00001173          	2022	A01	46.2	
ORUC1000000K00001176          	2022	A01	99.3	7
ORUC1000000K00001180          	2022	A01	25.2	
ORUC1000000K00001181          	2022	A01	70.4	7
ORUC1000000K00001182          	2022	A01	4.4	
ORUC1000000K00001187          	2022	A01	100.0	7
ORUC1000000K00001190          	2022	A01	48.2	7
ORUC1000000K00001191          	2022	A01	32.3	
ORUC1000000K00001192          	2022	A01	15.8	
ORUC1000000K00001197          	2022	A01	66.1	7
ORUC1000000K00001198          	2022	A01	33.9	
ORUC1000000K00001202          	2022	A01	100.0	7
ORUC1000000K00001205          	2022	A01	6.4	
ORUC1000000K00001206          	2022	A01	93.6	7
ORUC1000000M00001150          	2022	A01	93.4	7
ORUC1000000M00001155          	2022	A01	9.5	
ORUC1000000M00001156          	2022	A01	20.7	
ORUC1000000M00001157          	2022	A01	67.7	7
ORUC1000000M00001160          	2022	A01	34.2	
ORUC1000000M00001161          	2022	A01	65.8	7
ORUC1000000M00001166          	2022	A01	41.0	
ORUC1000000M00001167          	2022	A01	55.2	7
ORUC1000000M00001173          	2022	A01	53.2	7
ORUC1000000M00001176          	2022	A01	95.0	7
ORUC1000000M00001180          	2022	A01	19.2	
ORUC1000000M00001181          	2022	A01	65.1	7
ORUC1000000M00001187          	2022	A01	100.0	7
ORUC1000000M00001190          	2022	A01	52.6	7
ORUC1000000M00001191          	2022	A01	15.7	
ORUC1000000M00001192          	2022	A01	26.8	
ORUC1000000M00001193          	2022	A01	4.9	
ORUC1000000M00001197          	2022	A01	77.9	7
ORUC1000000M00001198          	2022	A01	22.1	
ORUC1000000M00001202          	2022	A01	100.0	7
ORUC1000000M00001205          	2022	A01	16.6	
ORUC1000000M00001206          	2022	A01	83.4	7
ORUC1000000V00001149          	2022	A01	8.2	
ORUC1000000V00001150          	2022	A01	91.8	7
ORUC1000000V00001171          	2022	A01	38.6	
ORUC1000000V00001173          	2022	A01	55.1	7
ORUC1000000V00001187          	2022	A01	100.0	7
ORUC1000000W00001150          	2022	A01	99.1	7
ORUC1000000W00001156          	2022	A01	30.5	
ORUC1000000W00001157          	2022	A01	62.9	7
ORUC1000000W00001160          	2022	A01	41.9	
ORUC1000000W00001161          	2022	A01	58.1	7
ORUC1000000W00001166          	2022	A01	28.5	
ORUC1000000W00001167          	2022	A01	71.5	7
ORUC1000000W00001171          	2022	A01	27.3	
ORUC1000000W00001172          	2022	A01	7.5	
ORUC1000000W00001173          	2022	A01	65.2	7
ORUC1000000W00001176          	2022	A01	100.0	7
ORUC1000000W00001180          	2022	A01	15.3	
ORUC1000000W00001181          	2022	A01	59.8	7
ORUC1000000W00001182          	2022	A01	24.9	
ORUC1000000W00001187          	2022	A01	100.0	7
ORUC1000000W00001190          	2022	A01	54.6	7
ORUC1000000W00001191          	2022	A01	33.2	
ORUC1000000W00001192          	2022	A01	10.3	
ORUC1000000W00001197          	2022	A01	67.8	7
ORUC1000000W00001198          	2022	A01	32.2	
ORUC1000000W00001202          	2022	A01	100.0	7
ORUC1000000W00001205          	2022	A01	41.6	
ORUC1000000W00001206          	2022	A01	58.4	7
ORUC1000001E00001156          	2022	A01	64.2	7
ORUC1000001E00001157          	2022	A01	29.8	
ORUC1000001E00001160          	2022	A01	60.1	7
ORUC1000001E00001161          	2022	A01	39.9	
ORUC1000001E00001166          	2022	A01	19.4	
ORUC1000001E00001167          	2022	A01	80.6	7
ORUC1000001E00001181          	2022	A01	82.4	7
ORUC1000001E00001182          	2022	A01	17.4	
ORUC1000001E00001187          	2022	A01	100.0	7
ORUC1000001E00001190          	2022	A01	56.4	7
ORUC1000001E00001191          	2022	A01	27.5	
ORUC1000001E00001192          	2022	A01	16.1	
ORUC1000001J00001149          	2022	A01	12.9	
ORUC1000001J00001150          	2022	A01	87.1	7
ORUC1000001J00001156          	2022	A01	22.9	
ORUC1000001J00001157          	2022	A01	72.3	7
ORUC1000001J00001160          	2022	A01	44.9	
ORUC1000001J00001161          	2022	A01	55.1	7
ORUC1000001J00001166          	2022	A01	52.5	7
ORUC1000001J00001167          	2022	A01	45.5	
ORUC1000001J00001171          	2022	A01	29.9	
ORUC1000001J00001173          	2022	A01	42.0	7
ORUC1000001J00001181          	2022	A01	73.8	7
ORUC1000001J00001182          	2022	A01	9.2	
ORUC1000001J00001187          	2022	A01	100.0	7
ORUC1000001J00001190          	2022	A01	31.3	
ORUC1000001J00001191          	2022	A01	12.5	
ORUC1000001J00001192          	2022	A01	50.0	7
ORUC1000001J00001193          	2022	A01	4.3	
ORUC1000001J00001197          	2022	A01	88.2	7
ORUC1000001J00001198          	2022	A01	11.8	
ORUC1000001J00001202          	2022	A01	95.0	7
ORUC1000001J00001205          	2022	A01	39.7	
ORUC1000001J00001206          	2022	A01	60.3	7
ORUC1000001O00001149          	2022	A01	95.6	7
ORUC1000001O00001150          	2022	A01	4.4	
ORUC1000001O00001160          	2022	A01	64.2	7
ORUC1000001O00001161          	2022	A01	35.8	
ORUC1000001O00001166          	2022	A01	74.6	7
ORUC1000001O00001167          	2022	A01	18.9	
ORUC1000001O00001171          	2022	A01	60.7	7
ORUC1000001O00001172          	2022	A01	1.9	
ORUC1000001O00001173          	2022	A01	37.4	
ORUC1000001O00001176          	2022	A01	90.1	7
ORUC1000001O00001177          	2022	A01	9.9	
