additive_code   additive_text   display_level   selectable      sort_sequence
000Not additive                                                                                                                                                                                             0 T41
010Specific vocational preparation                                                                                                                                                                          0 T96
013Prior work experience                                                                                                                                                                                    0 T97
014On-the-job training                                                                                                                                                                                      0 T98
015Choice of sitting or standing                                                                                                                                                                            0 T42
031Driving                                                                                                                                                                                                  0 T43
038Climbing structure-related ramps or stairs                                                                                                                                                               0 T44
068Strength                                                                                                                                                                                                 0 T45
086Pace: Pause control                                                                                                                                                                                      0 T2
087Personal contacts: Verbal interactions                                                                                                                                                                   0 T3
088Personal contacts: People skills                                                                                                                                                                         0 T4
089Problem solving                                                                                                                                                                                          0 T5
090Interaction with general public                                                                                                                                                                          0 T6
091Working around crowds                                                                                                                                                                                    0 T7
092Telework                                                                                                                                                                                                 0 T8
095Work review: Supervising others                                                                                                                                                                          0 T9
096Work review: Frequency of work being checked                                                                                                                                                             0 T10
097Work review: Presence of supervisor                                                                                                                                                                      0 T11
098Pace: Control of workload                                                                                                                                                                                0 T12
099Pace: Work pace                                                                                                                                                                                          0 T13
A01Low postures                                                                                                                                                                                             0 T46
A12Credentials                                                                                                                                                                                              0 T99
A16Reaching overhead                                                                                                                                                                                        0 T47
A18Reaching at or below the shoulder                                                                                                                                                                        0 T48
A20Keyboarding                                                                                                                                                                                              0 T49
A29Pushing or pulling with hands or arms                                                                                                                                                                    0 T50
A30Pushing or pulling with feet or legs                                                                                                                                                                     0 T51
A32Foot or leg controls                                                                                                                                                                                     0 T52
A34Gross manipulation                                                                                                                                                                                       0 T53
A36Fine manipulation                                                                                                                                                                                        0 T54
A39Climbing work-related ramps or stairs                                                                                                                                                                    0 T55
A40Climbing ladders, ropes, or scaffolds                                                                                                                                                                    0 T56
A43Extreme cold                                                                                                                                                                                             0 T14
A44Extreme heat                                                                                                                                                                                             0 T15
A45Wetness                                                                                                                                                                                                  0 T16
A46Humidity                                                                                                                                                                                                 0 T17
A47Heavy vibrations                                                                                                                                                                                         0 T18
A50Heights                                                                                                                                                                                                  0 T19
A51Proximity to moving mechanical parts                                                                                                                                                                     0 T20
A55Speaking                                                                                                                                                                                                 0 T57
A56Noise intensity level                                                                                                                                                                                    0 T21
A65Outdoors                                                                                                                                                                                                 0 T22
A73Minimum education level                                                                                                                                                                                  0 T100
A81Hazardous contaminants                                                                                                                                                                                   0 T23
B01Low postures                                                                                                                                                                                             0 T58
B16Reaching overhead                                                                                                                                                                                        0 T59
B18Reaching at or below the shoulder                                                                                                                                                                        0 T60
B20Keyboarding                                                                                                                                                                                              0 T61
B29Pushing or pulling with hands or arms                                                                                                                                                                    0 T62
B30Pushing or pulling with feet or legs                                                                                                                                                                     0 T63
B32Foot or leg controls                                                                                                                                                                                     0 T64
B34Gross manipulation                                                                                                                                                                                       0 T65
B36Fine manipulation                                                                                                                                                                                        0 T66
B39Climbing work-related ramps or stairs                                                                                                                                                                    0 T67
B40Climbing ladders, ropes, or scaffolds                                                                                                                                                                    0 T68
B43Extreme cold                                                                                                                                                                                             0 T24
B44Extreme heat                                                                                                                                                                                             0 T25
B45Wetness                                                                                                                                                                                                  0 T26
B46Humidity                                                                                                                                                                                                 0 T27
B47Heavy vibrations                                                                                                                                                                                         0 T28
B50Heights                                                                                                                                                                                                  0 T29
B51Proximity to moving mechanical parts                                                                                                                                                                     0 T30
B55Speaking                                                                                                                                                                                                 0 T69
B65Outdoors                                                                                                                                                                                                 0 T31
B73Literacy required                                                                                                                                                                                        0 T101
B81Hazardous contaminants                                                                                                                                                                                   0 T32
C16Reaching overhead with one or both hands                                                                                                                                                                 0 T70
C18Reaching at or below the shoulder with one or both hands                                                                                                                                                 0 T71
C29Pushing or pulling with one or both hands or arms                                                                                                                                                        0 T72
C30Pushing or pulling with one or both feet or legs                                                                                                                                                         0 T73
C32Foot or leg controls with one or both feet or legs                                                                                                                                                       0 T74
C34Gross manipulation with one or both hands                                                                                                                                                                0 T75
C36Fine manipulation with one or both hands                                                                                                                                                                 0 T76
C50Heights                                                                                                                                                                                                  0 T33
C51Proximity to moving mechanical parts                                                                                                                                                                     0 T34
C81Hazardous contaminants                                                                                                                                                                                   0 T35
D01Crawling                                                                                                                                                                                                 0 T77
D56Noise intensity level                                                                                                                                                                                    0 T36
E01Crouching                                                                                                                                                                                                0 T78
F01Kneeling                                                                                                                                                                                                 0 T79
G01Stooping                                                                                                                                                                                                 0 T80
H24Lifting or carrying: Seldom                                                                                                                                                                              0 T81
H52Peripheral vision                                                                                                                                                                                        0 T82
H59Hearing requirements: Speech in-person                                                                                                                                                                   0 T83
I24Lifting or carrying: Occasionally                                                                                                                                                                        0 T84
I52Near vision                                                                                                                                                                                              0 T85
I59Hearing requirements: Other remote speech                                                                                                                                                                0 T86
J24Lifting or carrying: Frequently                                                                                                                                                                          0 T87
J52Far vision                                                                                                                                                                                               0 T88
J59Hearing requirements: Telephone                                                                                                                                                                          0 T89
K24Lifting or carrying: Constantly                                                                                                                                                                          0 T90
K59Hearing requirements: Other sounds                                                                                                                                                                       0 T91
L12Credentials: Certification                                                                                                                                                                               0 T102
M12Credentials: Certification                                                                                                                                                                               0 T103
N12Credentials: License                                                                                                                                                                                     0 T104
O12Credentials: License                                                                                                                                                                                     0 T105
P12Credentials: Educational certificate                                                                                                                                                                     0 T106
Q12Credentials: Educational certificate                                                                                                                                                                     0 T107
X50Heights                                                                                                                                                                                                  0 T37
X51Proximity to moving mechanical parts                                                                                                                                                                     0 T38
X81Hazardous contaminants                                                                                                                                                                                   0 T40
Y77Work day                                                                                                                                                                                                 0 T92
Y78Work day                                                                                                                                                                                                 0 T93
Z77Percent of work day                                                                                                                                                                                      0 T94
Z78Percent of work day                                                                                                                                                                                      0 T95
