category_code   category_text   display_level   selectable      sort_sequence
001Low postures                                                                                                                                                                                             0 T23   
010Specific vocational preparation                                                                                                                                                                          0 T45   
012Credentials                                                                                                                                                                                              0 T46   
013Prior work experience                                                                                                                                                                                    0 T47   
014On-the-job training                                                                                                                                                                                      0 T48   
015Choice of sitting or standing                                                                                                                                                                            0 T24   
016Reaching overhead                                                                                                                                                                                        0 T25   
018Reaching at or below the shoulder                                                                                                                                                                        0 T26   
020Keyboarding                                                                                                                                                                                              0 T27   
024Lifting or carrying                                                                                                                                                                                      0 T28   
029Pushing or pulling with hands or arms                                                                                                                                                                    0 T29   
030Pushing or pulling with feet or legs                                                                                                                                                                     0 T30   
031Driving                                                                                                                                                                                                  0 T31   
032Foot or leg controls                                                                                                                                                                                     0 T32   
034Gross manipulation                                                                                                                                                                                       0 T33   
036Fine manipulation                                                                                                                                                                                        0 T34   
038Climbing structure-related ramps or stairs                                                                                                                                                               0 T35   
039Climbing work-related ramps or stairs                                                                                                                                                                    0 T36   
040Climbing ladders, ropes, or scaffolds                                                                                                                                                                    0 T37   
043Extreme cold                                                                                                                                                                                             0 T13   
044Extreme heat                                                                                                                                                                                             0 T14   
045Wetness                                                                                                                                                                                                  0 T15   
046Humidity                                                                                                                                                                                                 0 T16   
047Heavy vibrations                                                                                                                                                                                         0 T17   
050Heights                                                                                                                                                                                                  0 T18   
051Proximity to moving mechanical parts                                                                                                                                                                     0 T19   
052Vision                                                                                                                                                                                                   0 T38   
055Speaking                                                                                                                                                                                                 0 T39   
056Noise intensity level                                                                                                                                                                                    0 T20   
059Hearing requirements                                                                                                                                                                                     0 T40   
065Outdoors                                                                                                                                                                                                 0 T21   
068Strength                                                                                                                                                                                                 0 T41   
073Minimum education level                                                                                                                                                                                  0 T49   
077Standing                                                                                                                                                                                                 0 T42   
078Sitting                                                                                                                                                                                                  0 T43   
079Maximum weight lifted or carried                                                                                                                                                                         0 T44   
081Hazardous contaminants                                                                                                                                                                                   0 T22   
086Pace: Pause control                                                                                                                                                                                      0 T1    
087Personal contacts: Verbal interactions                                                                                                                                                                   0 T2    
088Personal contacts: People skills                                                                                                                                                                         0 T3    
089Problem solving                                                                                                                                                                                          0 T4    
090Interaction with general public                                                                                                                                                                          0 T5    
091Working around crowds                                                                                                                                                                                    0 T6    
092Telework                                                                                                                                                                                                 0 T7    
095Work review: Supervising others                                                                                                                                                                          0 T8    
096Work review: Frequency of work being checked                                                                                                                                                             0 T9    
097Work review: Presence of supervisor                                                                                                                                                                      0 T10   
098Pace: Control of workload                                                                                                                                                                                0 T11   
099Pace: Work pace                                                                                                                                                                                          0 T12   
